id,output
738,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING bacon ) and (TOPPING chicken ) but without (NOT (STYLE thin crust ) ) ) )
739,(ORDER i'll try (PIZZAORDER (NUMBER a ) pizza and (TOPPING bacon ) along with (TOPPING pineapple ) but hold (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
740,(ORDER (PIZZAORDER (SIZE medium ) pizza with (TOPPING sausage ) and (TOPPING mushrooms ) skip the (NOT (TOPPING ham ) ) ) )
741,(ORDER (PIZZAORDER (NUMBER one ) pizza and please make it with (TOPPING pineapple ) (TOPPING bacon ) and (TOPPING pepperoni ) ) )
742,(ORDER i want to order (PIZZAORDER (NUMBER two ) pizzas make them both (SIZE large ) i want (TOPPING olives ) (TOPPING onions ) and (TOPPING pesto ) ) as well thanks a lot )
743,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING onions ) and (TOPPING chicken ) but no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
744,(ORDER please order (DRINKORDER (NUMBER a ) (DRINKTYPE sprite ) ) with (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza ) )
745,(ORDER please order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING ham ) and (TOPPING sausage ) ) and (DRINKORDER (NUMBER a ) (CONTAINERTYPE bottle ) of (DRINKTYPE ginger ale ) ) )
746,(ORDER please order me (PIZZAORDER (NUMBER an ) (SIZE xl ) (TOPPING tomato ) (TOPPING bacon ) and (TOPPING onion ) pizza ) )
747,(ORDER i want to order (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING arugula ) pizza with shaved (TOPPING parmasean ) on top ) )
748,(ORDER i prefer (PIZZAORDER (NUMBER one ) pizza in (SIZE large ) size along with (TOPPING bacon ) and (TOPPING mushrooms ) but without (NOT (COMPLEX_TOPPING (QUANTITY additional ) (TOPPING cheese ) ) ) ) )
749,(ORDER i'll have (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING pesto ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and don't put (NOT (TOPPING olives ) ) ) on it )
750,(ORDER place an order for (PIZZAORDER (NUMBER a ) (STYLE vegetarian ) pizza with no (NOT (TOPPING tomatoe sauce ) ) ) on it )
751,(ORDER i wish to have (PIZZAORDER (NUMBER a ) (SIZE large ) sized pizza along with (TOPPING bacon ) (TOPPING olives ) but without (NOT (TOPPING chicken ) ) ) )
752,(ORDER order (PIZZAORDER (NUMBER three ) (SIZE large ) (TOPPING pepperoni ) (STYLE thin crust ) pizzas ) and (DRINKORDER (NUMBER two ) (DRINKTYPE cokes ) ) )
753,(ORDER good afternoon i'm in the mood for (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza i'd love (TOPPING pineapple ) on it and i love (STYLE thin crust ) please do not put any (NOT (TOPPING ham ) ) ) on there i don't like ham on pizza )
754,(ORDER i prefer (PIZZAORDER (SIZE large ) pie that has (TOPPING onions ) and (TOPPING hams ) but avoid (NOT (TOPPING peppers ) ) ) )
755,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING sausage ) and (TOPPING tuna ) pizza with a (STYLE thin crust ) ) )
756,(ORDER my order today is for (PIZZAORDER (NUMBER one ) (SIZE large ) pizza and i'd like (TOPPING peppers ) and (TOPPING olives ) on it but absolutely no (NOT (TOPPING tuna ) ) ) that's all for today )
757,(ORDER for today i just want (PIZZAORDER (NUMBER a ) (SIZE small ) pie and i want (TOPPING peppers ) and (TOPPING mushrooms ) on it make it (STYLE thin crust ) ) please )
758,(ORDER order (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING bacon ) (TOPPING ham ) (TOPPING green peppers ) (TOPPING onions ) (TOPPING black olives ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING bacon ) ) ) and (DRINKORDER (NUMBER four ) (SIZE large ) (DRINKTYPE diet cokes ) ) )
759,(ORDER i'll try (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING sausage ) and (TOPPING mushroom ) pizza with no (NOT (TOPPING ham ) ) ) please )
760,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING pepperoni ) (TOPPING ground beef ) (TOPPING onions ) and (TOPPING mushrooms ) ) with (DRINKORDER (NUMBER a ) (SIZE large ) (DRINKTYPE coke ) ) )
761,(ORDER can i get (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING onion ) and (TOPPING bacon ) pies with no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) please )
762,(ORDER i need (PIZZAORDER pizza which is (SIZE large ) size along with (COMPLEX_TOPPING (QUANTITY more ) (TOPPING cheese ) ) (TOPPING bacon ) and without (NOT (TOPPING mushrooms ) ) ) )
763,(ORDER i will try (PIZZAORDER (NUMBER two ) (SIZE small ) pies with (TOPPING onions ) (TOPPING bacon ) but no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
764,(ORDER place an order for (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas with (TOPPING ham ) and (TOPPING bacon ) ) and add (DRINKORDER (NUMBER two ) (DRINKTYPE sprites ) ) to it )
765,(ORDER can i get (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING sausage ) and (TOPPING tuna ) pie and no (NOT (TOPPING pesto ) ) ) please )
766,(ORDER i wanted to have (PIZZAORDER (NUMBER a ) (SIZE large ) pie with (TOPPING olives ) and (TOPPING chicken ) also add some (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
767,(ORDER i'd like to get (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) pie with (TOPPING pesto ) and (TOPPING sausage ) ) please )
768,(ORDER order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING peppers ) and (TOPPING sausage ) that is not (NOT (STYLE thin crust ) ) ) )
769,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE large ) pie with just (TOPPING ham ) and (TOPPING pepperoni ) no (NOT (TOPPING olives ) ) ) )
770,(ORDER order (PIZZAORDER (NUMBER a ) pizza with (TOPPING bacon ) (TOPPING peppers ) and (TOPPING pesto ) ) on it )
771,(ORDER can you get me (PIZZAORDER (NUMBER one ) pizza with (TOPPING onions ) (TOPPING pepperoni ) and (TOPPING sausage ) ) thanks )
772,(ORDER i only want (PIZZAORDER (NUMBER one ) pizza today and i'd love it topped with (TOPPING pepperonis ) and (TOPPING sausage ) but i don't want any (NOT (TOPPING mushrooms ) ) ) hate mushrooms )
773,(ORDER order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING sausage ) (TOPPING ham ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
774,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushroom ) and (TOPPING chicken ) pie no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
775,(ORDER get (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna ) and (TOPPING ham ) pie with no (NOT (TOPPING chicken ) ) ) )
776,(ORDER i'll take (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and also (TOPPING peppers ) and (TOPPING pesto ) ) toppings plus (DRINKORDER (NUMBER a ) (DRINKTYPE pepsi ) ) )
777,(ORDER i like to (PIZZAORDER (NUMBER one ) (SIZE large ) ) size pizza )
778,(ORDER i prefer (PIZZAORDER (NUMBER a ) pizza with (SIZE large ) size along with (TOPPING pesto ) (TOPPING tuna ) but no (NOT (TOPPING peppers ) ) ) )
779,(ORDER place my order for (PIZZAORDER (NUMBER three ) (SIZE small ) pizzas with (TOPPING pepperoni ) (TOPPING mushrooms ) and (TOPPING bacon ) ) and (DRINKORDER (NUMBER six ) (SIZE small ) (DRINKTYPE cokes ) ) )
780,(ORDER i need to order (PIZZAORDER (NUMBER three ) (SIZE medium ) (TOPPING cheese ) pizzas ) (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING pepperoni ) pizzas ) (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE vegetarian ) pizza ) and (DRINKORDER (NUMBER two ) (DRINKTYPE coca-colas ) ) )
781,(ORDER i'd like (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (TOPPING mushrooms ) (TOPPING ham ) and (TOPPING onions ) ) on it )
782,(ORDER i would like to have (PIZZAORDER (NUMBER one ) pie with (TOPPING mushrooms ) and (TOPPING sausage ) but without any (NOT (TOPPING ham ) ) ) )
783,(ORDER please i would like (PIZZAORDER (NUMBER one ) (SIZE medium ) pie without (NOT (TOPPING sausage ) ) and with (TOPPING tuna ) and (TOPPING ham ) ) )
784,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE personal ) (STYLE pan ) pizza with (STYLE stuff crust ) and make it a (STYLE veggies lover ) ) )
785,(ORDER i'm going to have (PIZZAORDER (NUMBER a ) (SIZE medium ) pie (STYLE thin crust ) (TOPPING olives ) on top and i don't want (NOT (TOPPING onions ) ) ) )
786,(ORDER i wanted to have (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING pesto ) and (TOPPING pepperoni ) and add some (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) please )
787,(ORDER i want (PIZZAORDER (NUMBER a ) (TOPPING pesto ) and (TOPPING pepper ) pizza with no (NOT (TOPPING bacon ) ) ) on it )
788,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING ham ) (TOPPING pesto ) pie no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
789,(ORDER i need (PIZZAORDER pie which is (SIZE large ) including (TOPPING olives ) (COMPLEX_TOPPING (QUANTITY more ) (TOPPING cheese ) ) (TOPPING chicken ) ) )
790,(ORDER this order is for (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING sausage ) (TOPPING ham ) (TOPPING green peppers ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING sauce ) ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
791,(ORDER hello today i'd like to order (PIZZAORDER (NUMBER a ) (SIZE medium ) pie for the toppings i'd like (TOPPING mushrooms ) and (TOPPING onions ) but please make sure there is no (NOT (TOPPING ham ) ) ) on there thanks )
792,(ORDER i'll go for (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza along with (TOPPING pineapple ) and some (TOPPING peppers ) (TOPPING onions ) ) )
793,(ORDER i'll go for (PIZZAORDER (NUMBER a ) pizza and some (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING peppers ) but avoid (NOT (TOPPING pesto ) ) ) )
794,(ORDER order me (PIZZAORDER (NUMBER two ) (SIZE extra large ) pizzas with (STYLE everything ) but (NOT (TOPPING onion ) ) and (NOT (TOPPING hot peppers ) ) ) and (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING mushrooms ) and (TOPPING sausage ) ) )
795,(ORDER can i please get (PIZZAORDER (NUMBER four ) (SIZE medium ) (TOPPING bacon ) and (TOPPING mushroom ) pizzas without (NOT (TOPPING peppers ) ) ) )
796,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING olives ) (TOPPING tuna ) and no (NOT (TOPPING mushrooms ) ) ) )
797,(ORDER order me (PIZZAORDER (NUMBER a ) (SIZE large ) size pizza that has (TOPPING pesto ) and (TOPPING pineapple ) but no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
798,(ORDER order me (PIZZAORDER (NUMBER two ) (SIZE medium ) pizzas with (TOPPING mushrooms ) and (TOPPING pesto ) make sure they hold the (NOT (TOPPING onions ) ) ) )
799,(ORDER place an order for (PIZZAORDER (NUMBER one ) (SIZE medium ) (STYLE big meat ) pizza ) and (PIZZAORDER (NUMBER one ) (SIZE small ) (STYLE veggie ) pizza ) and (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE cokes ) ) )
800,(ORDER i wanted to have (PIZZAORDER (NUMBER one ) pizza with (TOPPING tuna ) and (TOPPING pineapple ) but without (NOT (STYLE thin crust ) ) ) )
801,(ORDER i want (DRINKORDER (NUMBER a ) (DRINKTYPE diet coke ) (SIZE large ) ) (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE sprites ) ) and (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni ) pizza ) )
802,(ORDER good afternoon can i please have (PIZZAORDER (NUMBER a ) pizza make it (SIZE large ) please add some (TOPPING onions ) as well as (TOPPING ham ) but i'll pass on the (NOT (TOPPING peppers ) ) ) )
803,(ORDER i want (PIZZAORDER (NUMBER a ) pizza with (TOPPING olives ) and (TOPPING pepperoni ) on it without any (NOT (TOPPING pesto ) ) ) )
804,(ORDER i want to order (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni ) and (TOPPING ham ) pizza ) with (DRINKORDER (NUMBER a ) (SIZE medium ) (DRINKTYPE coke ) ) and (DRINKORDER (DRINKTYPE ice tea ) ) )
805,(ORDER i need (PIZZAORDER (NUMBER four ) pizzas in (SIZE medium ) size along with (TOPPING bacon ) (TOPPING mushrooms ) but no (NOT (TOPPING peppers ) ) ) )
806,(ORDER i would like you to order me (PIZZAORDER (NUMBER four ) (SIZE large ) (TOPPING cheese ) pizzas ) and (DRINKORDER (NUMBER four ) (DRINKTYPE pepsi ) ) drinks )
807,(ORDER please order (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE meat lovers ) pizza ) and (DRINKORDER (NUMBER two ) (SIZE small ) (DRINKTYPE sprites ) ) )
808,(ORDER i'd like (PIZZAORDER (NUMBER one ) pizza please make it (SIZE large ) for toppings i'm in the mood for (TOPPING olives ) (TOPPING onions ) and go ahead and put some (TOPPING pineapple ) ) on it thanks so much )
809,(ORDER i'll try (PIZZAORDER (NUMBER one ) (SIZE medium ) pie along with (TOPPING ham ) and some (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING pesto ) ) )
810,(ORDER can i please get (PIZZAORDER (NUMBER three ) pizzas with (TOPPING ham ) and (TOPPING chicken ) and leave off the (NOT (TOPPING mushrooms ) ) ) )
811,(ORDER (PIZZAORDER (SIZE small ) pizza please with (TOPPING red peppers ) ) )
812,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING meatball ) pizza with (TOPPING basil ) and some (TOPPING garlic powder ) ) )
813,(ORDER i like to have (PIZZAORDER (NUMBER two ) (SIZE small ) pizzas with (TOPPING pepperoni ) ) and (DRINKORDER (NUMBER two ) (DRINKTYPE pepsis ) ) )
814,(ORDER i need a total of (PIZZAORDER (NUMBER three ) pies i want all of them with (TOPPING mushrooms ) (TOPPING pepperoni ) and also (TOPPING ham ) ) thanks a lot )
815,(ORDER i'll try (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING olives ) and (TOPPING tuna ) on there and hold the (NOT (TOPPING mushrooms ) ) ) please )
816,(ORDER let me have (PIZZAORDER (NUMBER a ) pizza in (SIZE medium ) size along with (TOPPING pesto ) (TOPPING tuna ) and (TOPPING mushrooms ) ) )
817,(ORDER i prefer (PIZZAORDER (NUMBER two ) pizzas in (SIZE small ) size along with (TOPPING peppers ) (TOPPING bacon ) but without (NOT (TOPPING olives ) ) ) )
818,(ORDER i'll try (PIZZAORDER (NUMBER a ) pizza with (TOPPING pepperoni ) (TOPPING sausage ) and no (NOT (TOPPING mushrooms ) ) ) )
819,(ORDER can i have (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza along with (TOPPING onions ) (TOPPING pepperoni ) but hold (NOT (STYLE thin crust ) ) ) )
820,(ORDER can i have (PIZZAORDER (NUMBER a ) pizza with (TOPPING ham ) and (TOPPING peppers ) (TOPPING pineapple ) ) thanks )
821,(ORDER i just want (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza make it (STYLE thin crust ) and i'd like (TOPPING sausage ) and (TOPPING chicken ) ) on there appreciate it )
822,(ORDER i just want (PIZZAORDER (NUMBER one ) pizza and i want (TOPPING ham ) on there and (TOPPING pesto ) but definitely not (NOT (TOPPING olives ) ) ) that's it for today )
823,(ORDER i'd like (PIZZAORDER (NUMBER a ) pizza that's not (NOT (STYLE thin crust ) ) topped with (TOPPING pesto ) and (TOPPING peppers ) ) )
824,(ORDER i would like to get (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING ham ) and (TOPPING onion ) pie without (NOT (TOPPING pesto sauce ) ) ) please )
825,(ORDER i'll take (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING chicken ) on it and (TOPPING mushrooms ) please make sure there is no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) that's all )
826,(ORDER put an order in for (PIZZAORDER (NUMBER two ) (SIZE medium ) pizzas with (TOPPING olives ) and (COMPLEX_TOPPING (QUANTITY light ) (TOPPING sauce ) ) but (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
827,(ORDER i think i'll try (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING mushrooms ) (TOPPING tuna ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
828,(ORDER i need (PIZZAORDER (NUMBER a ) pie and i'd love some (TOPPING bacon ) on there as well as (TOPPING pesto ) and i like the (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) a lot thanks )
829,(ORDER order (PIZZAORDER (NUMBER one ) pizza with (TOPPING mushroom ) and (TOPPING onions ) make it (SIZE large ) ) and add (DRINKORDER (NUMBER a ) (SIZE large ) (DRINKTYPE coke ) ) with it )
830,(ORDER i'll try (PIZZAORDER (NUMBER a ) pie with (TOPPING bacon ) (TOPPING olives ) but hold (NOT (TOPPING pesto ) ) ) )
831,(ORDER i'll take (PIZZAORDER (NUMBER two ) (SIZE small ) pizzas with (TOPPING onions ) and (TOPPING bacon ) but hold the (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) please )
832,(ORDER i want (PIZZAORDER (NUMBER two ) pizzas topped with (TOPPING peppers ) ) and (DRINKORDER (NUMBER four ) (DRINKTYPE diet sprites ) which are (SIZE small ) ) along with (DRINKORDER (NUMBER three ) (DRINKTYPE pepsis ) ) )
833,(ORDER i want (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas without (NOT (TOPPING ham ) ) and (TOPPING tuna ) (TOPPING chicken ) ) on top )
834,(ORDER can i please get (PIZZAORDER (NUMBER a ) pie with (TOPPING onions ) and (TOPPING ham ) but no (NOT (TOPPING tuna ) ) ) please )
835,(ORDER i'd have (PIZZAORDER (NUMBER one ) (SIZE large ) pie along (TOPPING bacon ) and (TOPPING pepperoni ) (TOPPING pineapple ) ) )
836,(ORDER place an order for (PIZZAORDER (NUMBER three ) (SIZE small ) (TOPPING cheese ) pizzas ) amd (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
837,(ORDER can you order me (PIZZAORDER (NUMBER a ) (SIZE large ) (COMPLEX_TOPPING (QUANTITY double ) (TOPPING cheese ) ) pizza ) )
838,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) with (TOPPING ham ) and (TOPPING peppers ) ) and (PIZZAORDER (NUMBER one ) (SIZE small ) with only (TOPPING cheese ) pizza ) )
839,(ORDER order me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) ) and (PIZZAORDER (NUMBER a ) (SIZE small ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) pizza ) with (DRINKORDER (NUMBER a ) (VOLUME two liter ) (DRINKTYPE pepsi ) ) )
840,(ORDER i need (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas ) with (DRINKORDER (NUMBER two ) (DRINKTYPE pepsis ) ) )
841,(ORDER i need (PIZZAORDER (NUMBER one ) pizza might as well make it (SIZE large ) on it i'd like (TOPPING olives ) make it (STYLE thin crust ) and no (NOT (TOPPING pineapples ) ) ) today that's great )
842,(ORDER i need to order (PIZZAORDER (NUMBER a ) (SIZE small ) pizza and the toppings i want tonight are (TOPPING bacon ) as well as (TOPPING ham ) and (TOPPING onions ) ) also )
843,(ORDER i'll have (PIZZAORDER (NUMBER one ) pizza and (TOPPING mushrooms ) (TOPPING tuna ) but hold (NOT (TOPPING bacon ) ) ) )
844,(ORDER i'll try (PIZZAORDER (NUMBER two ) (SIZE medium ) pizzas and (TOPPING pineapple ) (TOPPING peppers ) but hold the (NOT (TOPPING ham ) ) ) )
845,(ORDER i prefer to have (PIZZAORDER (NUMBER a ) pizza in (SIZE small ) size along with (TOPPING sausage ) and (TOPPING pesto ) and (STYLE thin crust ) ) )
846,(ORDER lets get (PIZZAORDER (NUMBER two ) pizzas with no (NOT (TOPPING pepperoni ) ) jut (TOPPING pineapple ) and (TOPPING onions ) ) )
847,(ORDER may i have (PIZZAORDER (NUMBER one ) pie in (SIZE large ) size along with (TOPPING pepperoni ) and (TOPPING ham ) but without (NOT (TOPPING olives ) ) ) )
848,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE large ) pie and i'll try it with (TOPPING bacon ) and (TOPPING mushrooms ) please no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) that's it )
849,(ORDER i'd like (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni ) and (TOPPING ham ) pizza and please leave off the (NOT (TOPPING olives ) ) ) )
850,(ORDER i'll go with (PIZZAORDER (NUMBER a ) pizza which has (TOPPING pepperoni ) and (TOPPING chicken ) (TOPPING bacon ) ) )
851,(ORDER can you please give me (PIZZAORDER (NUMBER one ) (SIZE small ) pie with (TOPPING mushrooms ) (TOPPING tuna ) and (TOPPING olives ) ) )
852,(ORDER order (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING mushrooms ) (TOPPING bacon ) and (TOPPING pepperoni ) ) )
853,(ORDER order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING bacon ) and (TOPPING pepperoni ) do not use (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
854,(ORDER i would like to get (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE thin crust ) pizza with (TOPPING onions ) and (TOPPING ham ) ) )
855,(ORDER i want (PIZZAORDER (NUMBER a ) (TOPPING ham ) and (TOPPING tuna ) pie no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
856,(ORDER i need (PIZZAORDER (NUMBER a ) pie with (SIZE medium ) size along with (TOPPING tuna ) and (TOPPING mushrooms ) but no (NOT (TOPPING peppers ) ) ) )
857,(ORDER i'd like to put in an order for (PIZZAORDER (NUMBER one ) (SIZE large ) pizza pie and make that with (TOPPING pesto ) (STYLE thin crust ) and (TOPPING ham ) ) as well thanks )
858,(ORDER could you please get me (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) pizza with (TOPPING ham ) and leave off the (NOT (TOPPING peppers ) ) ) )
859,(ORDER i would like to order (PIZZAORDER (NUMBER five ) pizzas with the (TOPPING peppers ) and (TOPPING onions ) (TOPPING pesto ) ) as my base please )
860,(ORDER i want (PIZZAORDER (TOPPING bacon ) (TOPPING olives ) without (NOT (TOPPING chicken ) ) in (SIZE large ) pizza ) )
861,(ORDER i'll have (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas both with (TOPPING olives ) (TOPPING onions ) and (TOPPING pesto ) ) )
862,(ORDER order me (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni ) pizza with (TOPPING pineapples ) ) and (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni ) pizza with (TOPPING onions ) and (TOPPING bell peppers ) ) and (DRINKORDER (NUMBER a ) (SIZE large ) (DRINKTYPE coca-cola ) ) )
863,(ORDER i'd like (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING pesto ) and (TOPPING pineapple ) and no (NOT (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) ) )
864,(ORDER put in an order for (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (COMPLEX_TOPPING (QUANTITY light ) (TOPPING sauce ) ) ) along with (DRINKORDER (NUMBER two ) (DRINKTYPE sprites ) ) and (DRINKORDER (NUMBER a ) (DRINKTYPE coke ) ) )
865,(ORDER i'll try (PIZZAORDER (NUMBER one ) (SIZE small ) pie along (TOPPING chicken ) and some (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) but hold (NOT (TOPPING olives ) ) ) )
866,(ORDER id like to put in an order for (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE new york style ) (TOPPING pepperoni ) (TOPPING ham ) and (TOPPING bacon ) pizza ) )
867,(ORDER i'll go for (PIZZAORDER (NUMBER a ) (SIZE medium ) pie along with (TOPPING mushrooms ) and some (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) but hold (NOT (TOPPING sausage ) ) ) )
868,(ORDER can you get me (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE combination ) pizza ) and (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING mushrooms ) (TOPPING onions ) (TOPPING green olives ) and (TOPPING jalepenos ) ) )
869,(ORDER i'll try (PIZZAORDER (NUMBER a ) pizza with (TOPPING onions ) and (TOPPING ham ) as toppings and make sure there is no (NOT (TOPPING tuna ) ) ) on it okay )
870,(ORDER i'll try (PIZZAORDER (NUMBER three ) pies with (TOPPING bacon ) (TOPPING onions ) but hold the (NOT (TOPPING chicken ) ) ) )
871,(ORDER could i get (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) pizza with (TOPPING ham ) (TOPPING pepperoni ) ) please )
872,(ORDER i want to order (PIZZAORDER (NUMBER three ) (SIZE large ) (STYLE thin crust ) (TOPPING cheese ) pizzas ) with (DRINKORDER (NUMBER a ) (SIZE large ) (DRINKTYPE pepsi ) ) and (DRINKORDER (NUMBER a ) (SIZE large ) (DRINKTYPE mountain dew ) ) )
873,(ORDER i'd try (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza along with (TOPPING mushrooms ) and (TOPPING pepperoni ) and some (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
874,(ORDER i have (PIZZAORDER (NUMBER a ) pizza with (TOPPING onions ) (TOPPING ham ) (TOPPING tuna ) ) )
875,(ORDER i prefer (PIZZAORDER (NUMBER one ) pie which is (SIZE large ) along with (TOPPING ham ) and (TOPPING peppers ) but no (NOT (STYLE thin crust ) ) ) )
876,(ORDER this order is for (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING pepperoni ) (TOPPING sausage ) (TOPPING mushrooms ) (TOPPING green pepper ) (TOPPING black olives ) (TOPPING onions ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
877,(ORDER please can i have (PIZZAORDER (NUMBER one ) pizza along with (TOPPING mushrooms ) and (TOPPING pesto ) please avoid (NOT (STYLE thin crust ) ) ) )
